City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Bengkulu,ID,2021-08-15 18:40:25,-3.8004,102.2655,75.15,89,85,3.13
264,Hithadhoo,MV,2021-08-15 18:40:25,-0.6,73.0833,83.32,68,100,15.79
265,Mercedes,AR,2021-08-15 18:40:25,-34.6515,-59.4307,64.18,49,0,3.78
266,Port-Gentil,GA,2021-08-15 18:40:26,-0.7193,8.7815,78.76,78,40,11.5
267,Saiha,IN,2021-08-15 18:40:26,22.4833,92.9667,72.36,99,100,1.28
268,Natal,BR,2021-08-15 18:38:30,-5.795,-35.2094,84.85,58,20,24.16
269,Salalah,OM,2021-08-15 18:36:02,17.0151,54.0924,77.09,94,90,4.61
270,Omboue,GA,2021-08-15 18:40:27,-1.5746,9.2618,75.85,84,80,9.55
271,Hambantota,LK,2021-08-15 18:40:27,6.1241,81.1185,79.14,89,75,5.75
272,Atambua,ID,2021-08-15 18:40:27,-9.1061,124.8925,70.23,88,19,5.21
273,Herat,AF,2021-08-15 18:40:28,34.5,62.0,68.94,16,0,15.05
274,Rawson,AR,2021-08-15 18:40:28,-43.3002,-65.1023,69.55,16,96,22.06
275,Mehamn,NO,2021-08-15 18:40:29,71.0357,27.8492,44.78,80,100,11.86
276,Traunstein,DE,2021-08-15 18:40:29,47.8833,12.65,68.65,88,100,8.12
277,Rolandia,BR,2021-08-15 18:40:29,-23.3097,-51.3692,82.31,28,26,7.14
278,Poum,NC,2021-08-15 18:40:30,-20.2333,164.0167,70.05,66,98,17.36
279,Kahului,US,2021-08-15 18:40:30,20.8947,-156.47,78.96,76,20,12.66
280,Presidencia Roque Saenz Pena,AR,2021-08-15 18:40:31,-26.7852,-60.4388,77.94,29,6,4.92
281,Port Hedland,AU,2021-08-15 18:40:31,-20.3167,118.5667,68.05,42,75,8.05
282,Sampit,ID,2021-08-15 18:40:31,-2.5333,112.95,73.63,99,98,2.71
283,Takoradi,GH,2021-08-15 18:40:32,4.8845,-1.7554,76.6,77,31,9.86
284,Tabou,CI,2021-08-15 18:40:32,4.423,-7.3528,76.98,71,24,8.5
285,Auki,SB,2021-08-15 18:40:32,-8.7676,160.7034,76.82,89,92,4.92
286,Bima,ID,2021-08-15 18:40:33,-8.4667,118.7167,71.01,93,7,3.94
287,Barrow,US,2021-08-15 18:40:33,71.2906,-156.7887,35.62,87,90,17.27
288,Kambove,CD,2021-08-15 18:40:34,-10.8764,26.5969,64.98,37,0,5.35
289,Sitka,US,2021-08-15 18:40:34,57.0531,-135.33,53.49,82,75,3.44
290,Anzio,IT,2021-08-15 18:40:34,41.4853,12.6179,89.11,71,0,8.63
291,Sajanan,TN,2021-08-15 18:40:35,37.0573,9.2426,86.92,44,0,4.85
