City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Manado,ID,84.97,few clouds,1.487,124.8455,Aryaduta Hotel
535,Mayo,US,83.12,broken clouds,38.8876,-76.5119,Resorts Resource Group International
537,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
538,Salinas,US,82.87,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
539,Castelldefels,ES,75.09,scattered clouds,41.2779,1.9703,Gran Hotel Rey Don Jaime
540,Hamilton,US,78.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
545,Katobu,ID,79.2,overcast clouds,-4.9408,122.5276,La Ode Husein
548,Manbij,SY,79.57,clear sky,36.5281,37.9549,Manbej City Hotel
549,Makakilo City,US,82.69,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
550,Tatahuicapan,MX,88.43,broken clouds,18.2333,-94.75,Hotel Joachin
562,Alofi,NU,75.13,broken clouds,-19.0595,-169.9187,Taloa Heights
566,Viransehir,TR,84.52,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
568,Sattahip,TH,78.89,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
574,Alyangula,AU,79.18,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
576,Inhuma,BR,77.14,overcast clouds,-6.6683,-41.7078,Edifício Bezerra
580,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
582,Zenzeli,RU,75.0,broken clouds,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
588,Taos,US,84.72,clear sky,36.4072,-105.5731,El Monte Sagrado
589,Saijo,JP,75.34,light rain,33.9167,133.1833,Saijo Urban Hotel
591,Ixtapa,MX,81.63,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
595,Los Llanos De Aridane,ES,76.75,clear sky,28.6585,-17.9182,Valle Aridane
596,Tingo Maria,PE,76.06,scattered clouds,-9.2895,-76.0088,Hospedaje Paraíso
601,Minchinabad,PK,87.51,clear sky,30.163,73.5685,New City Top Hotel & Restaurant
604,Broome,US,75.88,few clouds,42.2506,-75.833,Chenango Valley State Park
606,Formosa,AR,80.58,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
608,Joetsu,JP,81.41,overcast clouds,37.1483,138.2364,Joetsu Sun Plaza Hotel
610,Sao Felix Do Xingu,BR,76.24,few clouds,-6.6447,-51.995,Rio Xingu Camping
611,Aden,YE,84.97,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
613,Celestun,MX,84.87,few clouds,20.8667,-90.4,Posada Lilia
614,Itainopolis,BR,79.43,overcast clouds,-7.4469,-41.4783,Pousada Posto Club Frank Aguiar
617,Yatou,CN,75.22,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
626,West Bay,KY,84.0,overcast clouds,19.3667,-81.4167,Calypso Cove
629,Mitsamiouli,KM,75.13,few clouds,-11.3847,43.2844,Foyer ADM
632,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
634,Beyneu,KZ,82.29,clear sky,45.3167,55.2,NUR
635,Anori,BR,81.9,broken clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
641,Istanbul,TR,77.07,clear sky,41.0351,28.9833,The Marmara Taksim
647,Gainesville,US,85.08,mist,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
652,Arona,ES,84.11,clear sky,28.0996,-16.681,Paradise Court
653,Banes,CU,79.41,overcast clouds,20.9625,-75.7186,Hostal Iván y yailet
654,Touros,BR,75.16,clear sky,-5.1989,-35.4608,INN NEW HORIZON
656,Breves,BR,76.89,scattered clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
661,George Town,MY,76.93,few clouds,5.4112,100.3354,Cititel Penang
665,Cimarron Hills,US,89.44,broken clouds,38.8586,-104.6989,"Holiday Inn Express & Suites Colorado Springs-First & Main, an IHG Hotel"
667,Kalianget,ID,81.25,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
669,Eureka,US,76.68,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
671,Daule,EC,75.72,overcast clouds,-1.865,-79.9792,Hospedaje viajero
673,The Valley,AI,84.06,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
674,Huejuquilla El Alto,MX,75.31,broken clouds,22.6,-103.8667,Hotel Huexuquillan
675,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
676,Conakry,GN,78.06,moderate rain,9.538,-13.6773,Riviera Royal Hotel
677,Dillon,US,82.36,overcast clouds,34.4166,-79.3712,Dillon Express Inn
679,Kobe,JP,76.68,overcast clouds,34.6913,135.183,Hotel Trusty Kobe Kyukyoryuchi
687,Wahiawa,US,80.87,light rain,21.5028,-158.0236,Aloha Wahiawa
691,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
693,Waingapu,ID,79.14,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
694,Galle,LK,77.67,overcast clouds,6.0367,80.217,Amangalla
695,Namatanai,PG,84.27,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
698,Longkou,CN,75.2,broken clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
699,Ciudad Bolivar,VE,78.08,overcast clouds,8.1222,-63.5497,Hotel Edi
700,Meadow Lake,US,89.69,clear sky,34.8014,-106.5436,TumbleWeed RV Park
701,Hecelchakan,MX,87.08,few clouds,20.1667,-90.1333,Hotel Amparito
703,Kutum,SD,79.43,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
707,Ranong,TH,79.02,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
710,Burlington,US,79.83,clear sky,39.8835,-74.6413,Delanco Camp
